idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
16,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,90.76530888638466,71.82044887780549,92.20871054823743,69.99002991026919,31755,1
17,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.59821491925221,73.81546134663341,91.57271569075789,75.47357926221336,1300959,2
17,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,92.0676031310715,74.713216957606,92.41954850153827,72.98105682951147,572235,1
17,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.88486534053973,71.82044887780549,91.36349326496178,71.48554336989032,374907,1
17,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.49955836551679,73.51620947630923,92.67947963195554,74.67597208374876,104667,1
17,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.48092125899271,73.96508728179552,92.05122589891619,73.18045862412762,31755,1
18,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.11340625250459,73.21695760598503,91.98836968464953,73.37986041874377,1300959,2
18,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.71805188575294,74.46384039900249,92.05470601695922,74.27716849451646,572235,1
18,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.61657458984962,70.52369077306733,90.20651961228063,69.49152542372882,374907,1
18,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.5558485138044,74.51371571072319,92.3026559848311,74.57627118644068,104667,1
18,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.3490926908182,73.86533665835412,92.02692154429587,72.58225324027916,31755,1
19,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.2214052401147,72.71820448877806,91.30390282457151,73.57926221335993,1300959,2
19,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.55880232167276,73.76558603491273,92.41230238933757,74.27716849451646,572235,1
19,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.50948146741244,72.16957605985037,90.97042490795003,70.18943170488534,374907,1
19,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.24938436900513,74.1645885286783,92.42440361586634,73.97806580259221,104667,1
19,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.43254368983848,74.0149625935162,92.11084104500026,73.678963110668,31755,1
20,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.70623843804974,73.31670822942642,91.43216636949089,74.8753738783649,1300959,2
20,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,92.02665540700762,74.56359102244389,92.13560183977324,74.37686939182453,572235,1
20,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,89.22800708322745,71.4214463840399,91.33521036750871,72.48255234297109,374907,1
20,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.48800312519305,74.86284289276807,92.66964275331988,74.57627118644068,104667,1
20,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.69124547126728,74.11471321695761,92.19143231642678,74.17746759720838,31755,1
21,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.71240404132037,72.96758104738154,91.34298644930531,73.57926221335993,1300959,2
21,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.35997418937895,73.86533665835412,92.36878944806497,74.47657028913261,572235,1
21,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.35504682353098,71.37157107231921,90.09633249093547,69.29212362911267,374907,1
21,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.33075447884875,73.81546134663341,91.96926953218103,73.57926221335993,104667,1
21,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.25880166620955,73.61596009975062,91.78855661904473,73.37986041874377,31755,1
22,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.38130278484365,72.96758104738154,91.36138948061947,74.97507477567298,1300959,2
22,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.53647627500128,74.91271820448878,91.95596714264441,73.97806580259221,572235,1
22,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.75925772966366,70.42394014962593,90.72738236893713,71.5852442671984,374907,1
22,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.50711474381269,73.71571072319202,92.35634151743413,74.0777666999003,104667,1
22,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.03182286965502,73.86533665835412,91.54631128934938,73.37986041874377,31755,1
23,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.72034630865446,72.71820448877806,91.82780679656545,75.47357926221336,1300959,2
