idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,test_auc,test_acc,val_auc,val_acc
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.72148579220378,74.2643391521197,92.87114453331074,75.47357926221336
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,92.03850448215617,75.06234413965088,92.66412227196243,75.2741774675972
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.59433732512613,74.51371571072319,92.66001146390879,75.47357926221336
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.47326323690743,74.61346633416458,93.06623140002085,74.37686939182453
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.31585831164382,74.06483790523691,92.29467063337866,72.98105682951147
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.61595711095933,74.3142144638404,93.25002470707784,74.57627118644068
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.30987998376374,73.71571072319202,93.0989028961112,75.07477567298105
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.9099556954648,75.41147132169576,93.13660788641542,77.16849451645065
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.45106594553577,73.16708229426435,92.30802240673873,74.97507477567298
15,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.98815210553298,73.56608478802993,92.96950253655947,75.2741774675972
